timeHist0,timeHist1,timeHist2,timeHist3,timeHist4
1.520000000000000000e+02,3.479749774283280317e+02,3.123966726694596900e+02,3.014515199398428535e+02,7.237054878845005090e-01
1.530000000000000000e+02,3.479761977935489199e+02,3.124915558541734413e+02,3.015189785954584636e+02,7.379477209870783927e-01
1.540000000000000000e+02,3.479773586408556980e+02,3.125858895819555983e+02,3.015868172519616905e+02,7.522753922187768172e-01
1.550000000000000000e+02,3.479784628729712495e+02,3.126796798425008888e+02,3.016550269551628958e+02,7.666867109738130237e-01
1.560000000000000000e+02,3.479795132510510598e+02,3.127729326022310374e+02,3.017235988479704929e+02,7.811799046592068363e-01
1.570000000000000000e+02,3.479805124015874185e+02,3.128656538010290546e+02,3.017925241718655229e+02,7.957532190023446361e-01
1.580000000000000000e+02,3.479814628229771074e+02,3.129578493491895870e+02,3.018617942682209900e+02,8.104049183291540670e-01
1.590000000000000000e+02,3.479823668917686632e+02,3.130495251245750978e+02,3.019314005794725517e+02,8.251332858131613657e-01
1.600000000000000000e+02,3.479832268686049588e+02,3.131406869699682716e+02,3.020013346501485216e+02,8.399366236967051869e-01
1.610000000000000000e+02,3.479840449038759971e+02,3.132313406906110913e+02,3.020715881277646986e+02,8.548132534861934140e-01
1.620000000000000000e+02,3.479848230430961280e+02,3.133214920519222915e+02,3.021421527635915254e+02,8.697615161226365244e-01
1.630000000000000000e+02,3.479855632320186487e+02,3.134111467773831805e+02,3.022130204132991480e+02,8.847797721282841810e-01
1.640000000000000000e+02,3.479862673215014297e+02,3.135003105465852968e+02,3.022841830374868550e+02,8.998664017302200335e-01
1.650000000000000000e+02,3.479869370721349924e+02,3.135889889934309736e+02,3.023556327021025822e+02,9.150198049636942832e-01
1.660000000000000000e+02,3.479875741586446907e+02,3.136771877044791950e+02,3.024273615787582798e+02,9.302384017535501037e-01
1.670000000000000000e+02,3.479881801740786500e+02,3.137649122174298100e+02,3.024993619449462017e+02,9.455206319782145652e-01
1.680000000000000000e+02,3.479887566337911267e+02,3.138521680197395654e+02,3.025716261841614596e+02,9.608649555131639763e-01
1.690000000000000000e+02,3.479893049792316901e+02,3.139389605473618872e+02,3.026441467859363570e+02,9.762698522594528416e-01
1.700000000000000000e+02,3.479898265815494938e+02,3.140252951836058628e+02,3.027169163457903664e+02,9.917338221534159892e-01
1.710000000000000000e+02,3.479903227450221834e+02,3.141111772581068635e+02,3.027899275651017206e+02,1.007255385163280392e+00
1.720000000000000000e+02,3.479907947103166634e+02,3.141966120459037484e+02,3.028631732509034009e+02,1.022833081268934796e+00
1.730000000000000000e+02,3.479912436575921788e+02,3.142816047666165673e+02,3.029366463156096074e+02,1.038465470429503990e+00
1.740000000000000000e+02,3.479916707094506592e+02,3.143661605837203297e+02,3.030103397766753801e+02,1.054151132536670810e+00
1.750000000000000000e+02,3.479920769337442721e+02,3.144502846039080737e+02,3.030842467561940907e+02,1.069888667356575951e+00
1.760000000000000000e+02,3.479924633462453016e+02,3.145339818765402811e+02,3.031583604804364995e+02,1.085676694460455227e+00
1.770000000000000000e+02,3.479928309131862534e+02,3.146172573931744409e+02,3.032326742793347876e+02,1.101513853142376265e+00
1.780000000000000000e+02,3.479931805536759271e+02,3.147001160871713523e+02,3.033071815859150320e+02,1.117398802329748086e+00
1.790000000000000000e+02,3.479935131419977665e+02,3.147825628333728218e+02,3.033818759356820465e+02,1.133330220481676642e+00
1.800000000000000000e+02,3.479938295097957166e+02,3.148646024478482559e+02,3.034567509659586335e+02,1.149306805480120319e+00
1.810000000000000000e+02,3.479941304481541238e+02,3.149462396877043489e+02,3.035318004151838522e+02,1.165327274511874789e+00
